segment,company_name,parent_company,hq_city,hq_state,hq_country,year_founded,ownership,primary_specialty,secondary_lines,glass_types,frame_materials,market_segment,custom_capabilities,max_dimensions,moq,num_plants,plant_locations,typical_lead_time,trade_assoc_memberships,product_certifications,years_in_business,warranty_terms,notable_projects,pricing_tier,public_price_list,sales_model,quote_turnaround,main_phone,sales_email,cs_email,hq_address,website,contact_form_url,accepting_new_customers,preferred_contact_method,response_time_reputation,linkedin_url,linkedin_followers,linkedin_last_post_recency,facebook_url,instagram_url,youtube_url,twitter_url,recent_trade_show,ceo_president,vp_sales_or_commercial,red_flags
fenestration,Andersen Corporation,not available,Bayport,MN,USA,1903,private (employee-owned/ESOP),residential windows and doors,patio doors;storm doors;Renewal by Andersen replacement,"insulating glass;Low-E;HeatLock;SmartSun;tempered;laminated","wood;Fibrex composite;vinyl;aluminum-clad wood",residential;light commercial,yes,not available,not available,not available,"Bayport MN;Cottage Grove MN;North Branch MN;Menomonie WI;Dubuque IA;Goodyear AZ;Locust NC",not available,"FGIA;WDMA;NFRC;Energy Star Partner","NFRC;Energy Star;AAMA",122,"limited lifetime on most components (20-year glass)",not available,premium,no,dealer network;direct retail (Renewal by Andersen),not available,1-800-426-4261,not available,not available,"100 4th Avenue North, Bayport, MN 55003",https://www.andersenwindows.com,https://www.andersenwindows.com/support/contact-us,yes,phone;dealer,not available,https://www.linkedin.com/company/andersen,"71,889",active (within 30 days),https://www.facebook.com/AndersenWindows,https://www.instagram.com/andersenwindows,https://www.youtube.com/user/AndersenWindows,not available,not available,Chris Galvin (CEO and Chairman),not available,none identified
fenestration,Pella Corporation,not available,Pella,IA,USA,1925,private (ESOP/employee-owned),residential windows and doors,patio doors;entry doors;commercial windows,"insulating glass;Low-E;NaturalSun;AdvancedComfort Low-E;impact-resistant","wood;fiberglass;vinyl;aluminum-clad wood",residential;light commercial,yes,not available,not available,~20,"Pella IA;Sioux Center IA;Shenandoah IA;Carroll IA;Ottumwa IA;Macomb IL;Murray KY;Story City IA",not available,"FGIA;WDMA;NFRC;Energy Star Partner","NFRC;Energy Star;AAMA",100,"limited lifetime on most components",not available,mid-premium,no,dealer network;showrooms;big-box (select lines),not available,1-877-473-5527,not available,not available,"102 Main Street, Pella, IA 50219",https://www.pella.com,https://www.pella.com/contact,yes,phone;dealer,not available,https://www.linkedin.com/company/pella,"45,028",active (within 30 days),https://www.facebook.com/Pella,https://www.instagram.com/pellawindowsdoors,https://www.youtube.com/user/PellaWindowsDoors,not available,not available,Tim Yaggi (President & CEO; Emily Videtto incoming July 2026),not available,none identified
fenestration,Marvin,not available,Warroad,MN,USA,1912,private (family-owned 4th generation),residential windows and doors,patio doors;Infinity fiberglass;Marvin Modern;skylights,"insulating glass;Low-E;Low-E2;Low-E3;tempered;laminated","wood;Ultrex fiberglass;aluminum-clad wood;extruded aluminum",residential;light commercial,yes,not available,not available,16,"Warroad MN;Fargo ND;West Fargo ND;Grafton ND;Baker City OR;Ripley TN;Roanoke VA;Kansas City KS","6-8 weeks typical","FGIA;WDMA;NFRC;Energy Star Partner","NFRC;Energy Star;AAMA",114,"limited lifetime on most components (20-year IGU)",not available,premium,no,dealer network;architect-direct;showrooms,not available,1-888-537-7828,not available,not available,"2020 Silver Bay Road, Warroad, MN 56763",https://www.marvin.com,https://www.marvin.com/contact-us,yes,phone;dealer,not available,https://www.linkedin.com/company/themarvinbrand,"31,578",active (within 30 days),https://www.facebook.com/MarvinWindowsandDoors,https://www.instagram.com/marvinwindowsanddoors,https://www.youtube.com/user/MarvinWindowsDoors,not available,not available,Paul Marvin (CEO and Chair),not available,none identified
fenestration,JELD-WEN Inc.,JELD-WEN Holding Inc. (NYSE:JELD),Charlotte,NC,USA,1960,public (NYSE:JELD),residential and commercial windows and doors,interior doors;exterior doors;patio doors;vinyl/wood/clad windows,"insulating glass;Low-E;tempered;laminated","vinyl;wood;aluminum-clad wood;fiberglass;steel;composite",residential;commercial,yes,not available,not available,~120 globally (16 countries),"Charlotte NC HQ;Klamath Falls OR;Chiloquin OR;Grinnell IA;Hawkins WI;Dodson LA;multiple US plants",not available,"FGIA;WDMA;NFRC;Energy Star Partner","NFRC;Energy Star;AAMA",66,"limited warranty varies by product line (typically 10-20 years)",not available,mid,no,dealer network;big-box retail;builder direct,not available,1-800-535-3936,not available,not available,"2645 Silver Crescent Drive, Charlotte, NC 28273",https://www.jeld-wen.com,https://www.jeld-wen.com/en-us/contact-us,yes,phone;dealer,not available,https://www.linkedin.com/company/jeld-wen,not available,active (within 30 days),https://www.facebook.com/JeldWenWindowsandDoors,https://www.instagram.com/jeldwenwindowsdoors,https://www.youtube.com/user/JELDWENinc,not available,not available,Bill Christensen (CEO),not available,"multiple 2024-2025 plant closures and layoffs (Vista CA;Hawkins WI;Wedowee AL;Grinnell IA ~298 jobs;Chiloquin OR ~128 jobs;Coppell TX 56 jobs);Steves & Sons antitrust case forced divestiture of Towanda PA plant Jan 2025"
fenestration,MITER Brands,Koch Equity Development (private),Pen Argyl,PA,USA,1947,private (Koch-backed),residential vinyl windows and doors,impact-resistant windows;patio doors;aluminum windows,"insulating glass;Low-E;impact-resistant laminated;tempered","vinyl;aluminum;fiberglass",residential;light commercial,yes,not available,not available,more than 10,"Pen Argyl PA;Prairie du Chien WI;Carlisle PA;Gratz PA;Hicksville OH;Tacoma WA;Dixon CA;Sacramento CA;Venice FL;Fort Myers FL;Salisbury MD",not available,"FGIA;WDMA;NFRC;Energy Star Partner","NFRC;Energy Star;AAMA",79,"limited lifetime warranty on most product lines",not available,mid,no,dealer network;big-box (select lines);builder direct,not available,not available,not available,not available,"650 W Market Street, Gratz, PA 17030",https://www.miterbrands.com,https://www.miterbrands.com/contact,yes,phone;dealer,not available,https://www.linkedin.com/company/miterbrands,not available,active (within 30 days),not available,https://www.instagram.com/miterbrands,not available,not available,not available,Matt DeSoto (CEO),not available,"announced Florida plant consolidations post-PGT acquisition 2024-2025; some layoffs in restructuring"
fenestration,Milgard Windows & Doors,MITER Brands,Tacoma,WA,USA,1958,private (MITER Brands subsidiary),residential vinyl/fiberglass/aluminum windows,patio doors;fiberglass windows,"insulating glass;Low-E;SunCoat;SunCoatMAX;tempered","vinyl;fiberglass;aluminum;wood-clad",residential,yes,not available,not available,multiple western US,"Tacoma WA;Fife WA;Dixon CA;Sacramento CA;Temecula CA;Hicksville OH",not available,"FGIA;WDMA;NFRC;Energy Star Partner","NFRC;Energy Star;AAMA",68,"Full Lifetime Warranty (transferable)",not available,mid,no,dealer network;builder direct,not available,1-800-645-4273,not available,not available,"965 54th Ave E, Fife, WA 98424",https://www.milgard.com,https://www.milgard.com/contact-us,yes,phone;dealer,not available,https://www.linkedin.com/company/milgard-windows-&-doors,not available,active (within 30 days),https://www.facebook.com/MilgardWindowsDoors,https://www.instagram.com/milgardwindowsdoors,https://www.youtube.com/user/MilgardWindows,not available,not available,Matt DeSoto (CEO MITER Brands),not available,none identified
fenestration,MI Windows and Doors,MITER Brands,Gratz,PA,USA,1947,private (MITER Brands subsidiary),residential vinyl windows and doors,patio doors;aluminum windows,"insulating glass;Low-E;tempered;impact-resistant","vinyl;aluminum",residential;multi-family,yes,not available,not available,multiple,"Gratz PA;Hicksville OH;Carlisle PA;Prairie du Chien WI;Elizabethton TN",not available,"FGIA;WDMA;NFRC;Energy Star Partner","NFRC;Energy Star;AAMA",79,"limited lifetime on vinyl;20-year glass",not available,mid,no,dealer network;builder direct,not available,1-717-365-3300,not available,not available,"650 West Market Street, Gratz, PA 17030",https://miwindows.com,https://miwindows.com/contact,yes,phone;dealer,not available,https://www.linkedin.com/company/mi-windows-and-doors,not available,active (within 30 days),https://www.facebook.com/MIWindowsandDoors,https://www.instagram.com/miwindowsanddoors,https://www.youtube.com/user/miwindowsdoors,not available,not available,Matt DeSoto (CEO MITER Brands),not available,none identified
fenestration,Cornerstone Building Brands,Clayton Dubilier & Rice (private equity),Cary,NC,USA,2018 (NCI/Ply Gem merger),private (CD&R portfolio),exterior building products (windows;siding;metal),"vinyl windows;aluminum windows;commercial fenestration;siding;metal roofing","insulating glass;Low-E;tempered","vinyl;aluminum;wood;composite",residential;commercial,yes,not available,not available,80+ manufacturing/distribution locations,"Cary NC HQ;multiple US/Canada/Mexico locations",not available,"FGIA;WDMA;NFRC;Energy Star Partner;MCA","NFRC;Energy Star;AAMA",8 (legacy brands much older),"varies by brand (Simonton;Ply Gem;Atrium;Silver Line;Harvey)",not available,mid,no,dealer network;builder direct;distributor,not available,1-866-419-0001,not available,not available,"5020 Weston Pkwy Suite 400, Cary, NC 27513",https://www.cornerstonebuildingbrands.com,https://www.cornerstonebuildingbrands.com/contact-us,yes,phone;dealer,not available,https://www.linkedin.com/company/cornerstone-building-brands,not available,active (within 30 days),https://www.facebook.com/CornerstoneBuildingBrands,not available,https://www.youtube.com/channel/UC6Q1xT5DPYjBKpW2kHzD-mw,not available,GlassBuild America,Gunner Smith (CEO appointed 2025),not available,"taken private by CD&R 2022;periodic plant consolidations during restructuring"
fenestration,Simonton Windows & Doors,Cornerstone Building Brands,Pennsboro,WV,USA,1946,private (Cornerstone Building Brands subsidiary),residential vinyl windows,patio doors,"insulating glass;Low-E;ProSolar;StormBreaker impact","vinyl",residential,limited,not available,not available,multiple,"Pennsboro WV;Ellenboro WV;Paris IL;Vacaville CA",not available,"FGIA;WDMA;NFRC;Energy Star Partner","NFRC;Energy Star;AAMA",80,"Double Lifetime Limited Warranty",not available,mid,no,dealer network;builder direct;big-box,not available,1-800-746-6686,not available,not available,"5020 Weston Pkwy Suite 400, Cary, NC 27513",https://www.simonton.com,https://www.simonton.com/contact-us,yes,phone;dealer,not available,https://www.linkedin.com/company/simonton-windows,not available,moderate (1-3 months),https://www.facebook.com/SimontonWindows,https://www.instagram.com/simontonwindows,https://www.youtube.com/user/SimontonWindows,not available,not available,Gunner Smith (CEO Cornerstone),not available,none identified
fenestration,Atrium Windows & Doors,Cornerstone Building Brands,Welcome,NC,USA,1946,private (Cornerstone Building Brands subsidiary),residential vinyl windows and patio doors,storm doors,"insulating glass;Low-E;tempered","vinyl",residential;new construction;builder market,limited,not available,not available,multiple US,"Welcome NC;Tupelo MS;Dallas TX;Fontana CA;Texarkana TX",not available,"FGIA;WDMA;NFRC;Energy Star Partner","NFRC;Energy Star;AAMA",79,"limited lifetime warranty (varies by product)",not available,budget,no,dealer network;builder direct;big-box,not available,1-800-935-9778,not available,not available,"75 Atrium Way, Welcome, NC 27374",https://www.atrium.com,https://www.atrium.com/contact-us/,yes,phone;dealer,not available,https://www.linkedin.com/company/hepdirect,not available,not available,https://www.facebook.com/atriumwindowsanddoors,not available,not available,not available,not available,Gunner Smith (CEO Cornerstone),not available,none identified
